title,author,length
53. The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
54. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
55. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
56. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
57. Savage Son,By: Jack Carr,Length: 12 hrs and 56 mins
58. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
59. Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
60. The Alchemist,By: Paulo Coelho,Length: 4 hrs
61. Under the Banner of Heaven,By: Jon Krakauer,Length: 12 hrs and 29 mins
62. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
63. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
64. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
65. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
66. This Time Tomorrow,By: Emma Straub,Length: 8 hrs and 31 mins
67. Dream Town,By: David Baldacci,Length: 11 hrs
68. A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
69. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
70. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
71. The Kaiju Preservation Society,By: John Scalzi,Length: 8 hrs and 2 mins
72. The Guest List,By: Lucy Foley,Length: 10 hrs and 22 mins
73. Life Force,"By: Tony Robbins, Peter H. Diamandis, Robert Hariri",Length: 22 hrs and 50 mins
74. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
75. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
76. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
77. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
78. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
79. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
80. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
81. Star Wars: Brotherhood,By: Mike Chen,Length: 12 hrs and 46 mins
82. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
83. The War on the West,By: Douglas Murray,Length: 12 hrs and 42 mins
84. Defiance of the Fall 5,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 11 mins
85. How to Be a Boss B*tch,"By: Christine Quinn, Rachel Holtzman",Length: 7 hrs and 43 mins
86. The Storyteller,By: Dave Grohl,Length: 10 hrs and 35 mins
87. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
88. The Devil's Hand,By: Jack Carr,Length: 14 hrs and 37 mins
89. Beyond Order,By: Jordan B. Peterson,Length: 13 hrs and 11 mins
90. The Office BFFs,"By: Jenna Fischer, Angela Kinsey",Length: 8 hrs and 26 mins
91. What Happened to the Bennetts,By: Lisa Scottoline,Length: 10 hrs and 15 mins
92. 22 Seconds,"By: James Patterson, Maxine Paetro",Length: 8 hrs and 16 mins
93. Killing the Killers,"By: Bill O'Reilly, Martin Dugard",Length: 9 hrs and 15 mins
94. The Rise and Triumph of the Modern Self,By: Carl R. Trueman,Length: 13 hrs and 36 mins
95. The Stand,By: Stephen King,Length: 47 hrs and 47 mins
96. Napoleon Hill's Outwitting the Devil,"By: Napoleon Hill, Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
97. People We Meet on Vacation,By: Emily Henry,Length: 10 hrs and 46 mins
98. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 6 mins
99. A Queen of Ruin,By: K.F. Breene,Length: 20 hrs and 44 mins
100. American Royals III: Rivals,By: Katharine McGee,Length: 12 hrs and 32 mins
